timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
20443325,20443397,72,101.206298828125,60.636474609375,467,20443864,20443931,67,96.8103637695313,87.474609375,101,20444032,20444107,75,54.249755859375,128.45703125,92,20444199,20444248,49,97.8094329833984,102.618530273438,25,pin-length-4
20445371,20445440,69,120.188720703125,68.633056640625,159,20445599,20445657,58,113.794631958008,104.46728515625,59,20445716,20445808,92,67.2377319335938,87.474609375,91,20445899,20445982,83,90.81591796875,140.602294921875,25,pin-length-4
20725345,20725425,80,60.8436584472656,88.54931640625,136,20725561,20725609,48,70.5346984863281,87.5498046875,202,20725811,20725927,116,130.479187011719,91.548095703125,101,20726028,20726118,90,109.198913574219,106.541625976563,27,pin-length-4
20726970,20727026,56,87.8186950683594,104.54248046875,167,20727193,20727260,67,124.484741210938,88.54931640625,158,20727418,20727477,59,111.496765136719,111.53955078125,166,20727643,20727710,67,100.207214355469,82.5518798828125,27,pin-length-4
20728238,20728294,56,71.83349609375,114.538208007813,183,20728477,20728560,83,105.502319335938,89.5489501953125,159,20728719,20728794,75,105.502319335938,87.5498046875,158,20728952,20729011,59,89.2174072265625,74.5552978515625,27,pin-length-4
20729761,20729812,51,62.8418121337891,106.541625976563,174,20729986,20730060,74,91.5152587890625,64.5595703125,135,20730195,20730244,49,101.506042480469,113.538696289063,166,20730410,20730484,74,85.2210693359375,50.5655517578125,27,pin-length-4
20731296,20731361,65,104.802963256836,92.547607421875,168,20731529,20731611,82,108.49951171875,69.5574951171875,125,20731736,20731801,65,115.493041992188,83.551513671875,152,20731953,20731994,41,85.2210693359375,62.5604248046875,27,pin-length-4
314460423,314460487,64,92,89,278,314460765,314460796,31,107,77,427,314461223,314461262,39,121,100,289,314461551,314461581,30,96,83,28,pin-length-4
314462365,314462412,47,118,112,271,314462683,314462705,22,69,98,228,314462933,314462989,56,115,120,200,314463189,314463213,24,41,56,28,pin-length-4
314463591,314463649,58,77,121,241,314463890,314463907,17,48,69,207,314464114,314464148,34,72,96,166,314464314,314464323,9,122,85,28,pin-length-4
314464875,314464948,73,101,111,209,314465157,314465244,87,105,77,149,314465393,314465456,63,125,141,125,314465581,314465599,18,89,20,28,pin-length-4
314466100,314466139,39,105,86,202,314466341,314466397,56,107,14,194,314466591,314466632,41,102,78,142,314466774,314466806,32,63,69,28,pin-length-4
311965946,311966049,103,116,106,18,311966067,311966135,68,99,50,166,311966301,311966317,16,71,90,160,311966477,311966566,89,124,135,33,pin-length-4
