timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
22897253,22897278,25,56,75,118,22897396,22897478,82,63,83,126,22897604,22897678,74,72,120,168,22897846,22897911,65,116,78,4,pin-length-4
3125336,3125425,89,57,72,83,3125508,3125599,91,8,73,103,3125702,3125792,90,75,75,151,3125943,3126026,83,47,71,4,pin-length-4
3127229,3127335,106,116,77,83,3127418,3127510,92,54,79,109,3127619,3127701,82,92,68,160,3127861,3127952,91,115,103,4,pin-length-4
3128553,3128634,81,45,138,125,3128759,3128835,76,75,100,108,3128943,3129027,84,97,90,201,3129228,3129311,83,18,152,4,pin-length-4
3130167,3130252,85,95,106,109,3130361,3130434,73,89,92,102,3130536,3130643,107,148,96,168,3130811,3130894,83,61,68,4,pin-length-4
3134689,3134778,89,91,16,135,3134913,3134986,73,143,97,85,3135071,3135179,108,159,71,134,3135313,3135403,90,124,34,4,pin-length-4
22852415,22852438,23,53,104,109,22852547,22852638,91,94,108,110,22852748,22852830,82,70,101,151,22852981,22853055,74,110,69,4,pin-length-4
22854673,22854756,83,111,100,151,22854907,22854981,74,81,110,134,22855115,22855200,85,47,107,174,22855374,22855448,74,117,92,4,pin-length-4
22857327,22857415,88,94,84,134,22857549,22857623,74,101,104,126,22857749,22857841,92,72,110,167,22858008,22858091,83,96,86,4,pin-length-4
22859750,22859833,83,85,83,142,22859975,22860057,82,101,100,110,22860167,22860257,90,68,99,160,22860417,22860502,85,102,66,4,pin-length-4
22861984,22862074,90,124,46,144,22862218,22862301,83,117,55,141,22862442,22862524,82,23,148,177,22862701,22862767,66,120,91,4,pin-length-4
22864294,22864392,98,95,81,213,22864605,22864700,95,140,100,176,22864876,22864969,93,55,86,224,22865193,22865284,91,91,117,4,pin-length-4
22866494,22866585,91,107,114,192,22866777,22866868,91,123,105,142,22867010,22867104,94,47,99,190,22867294,22867368,74,85,89,4,pin-length-4
7061757,7061888,131,67.9370956420898,84.5689697265625,1047,7062935,7063069,134,81.2581176757812,100.360717773438,121,7063190,7063281,91,87.2525634765625,91.3653564453125,1246,7064527,7064671,144,113.894546508789,102.359619140625,7,pin-length-4
7108650,7108740,90,72.9324722290039,78.5720825195313,397,7109137,7109244,107,70.2682495117188,99.3612060546875,66,7109310,7109424,114,78.2608642578125,103.359130859375,586,7110010,7110097,87,69.9352416992187,74.374267578125,7,pin-length-4
7112775,7112870,95,108.899169921875,77.5725708007812,408,7113278,7113399,121,79.2599487304688,85.3685302734375,66,7113465,7113580,115,79.2599487304688,104.358642578125,449,7114029,7114151,122,94.9121170043945,113.35400390625,7,pin-length-4
7116244,7116341,97,67.9370956420898,111.554870605469,309,7116650,7116758,108,66.27197265625,120.350341796875,111,7116869,7116983,114,82.2572021484375,125.34765625,564,7117547,7117658,111,107.900093078613,56.3836669921875,7,pin-length-4
7121568,7121666,98,72.9324722290039,73.57470703125,644,7122310,7122431,121,70.2682495117188,102.359619140625,101,7122532,7122622,90,58.2793579101562,100.360717773438,419,7123041,7123149,108,99.9074935913086,112.3544921875,7,pin-length-4
7125263,7125351,88,86.9195175170898,91.5653076171875,397,7125748,7125834,86,62.2756958007813,108.356567382813,102,7125936,7126014,78,70.2682495117188,109.356079101563,654,7126668,7126779,111,102.904716491699,94.3638916015625,7,pin-length-4
7129072,7129171,99,67.9370956420898,78.5720825195313,510,7129681,7129777,96,67.2710571289062,110.35546875,79,7129856,7129958,102,65.2728881835938,105.358154296875,485,7130443,7130564,121,118.889915466309,89.366455078125,7,pin-length-4
7132915,7133013,98,75.9296951293945,73.57470703125,443,7133456,7133564,108,79.2599487304688,113.35400390625,101,7133665,7133734,69,77.2617797851563,100.360717773438,521,7134255,7134362,107,90.9158172607422,143.33837890625,7,pin-length-4
7136657,7136767,110,65.9389495849609,74.5741577148438,543,7137310,7137419,109,71.267333984375,103.359130859375,115,7137534,7137610,76,72.2664184570313,96.36279296875,497,7138107,7138228,121,94.9121170043945,72.375244140625,7,pin-length-4
7140388,7140498,110,72.9324722290039,80.571044921875,456,7140954,7141072,118,79.2599487304688,123.348754882813,66,7141138,7141264,126,73.2655029296875,95.36328125,223,7141487,7141579,92,101.905639648438,74.374267578125,7,pin-length-4
7143779,7143867,88,96.910270690918,75.5736694335937,567,7144434,7144530,96,93.2470092773437,127.3466796875,91,7144621,7144699,78,94.24609375,102.359619140625,236,7144935,7145035,100,92.9139709472656,113.35400390625,7,pin-length-4
7074754,7074898,144,53.9500465393066,93.5642700195313,659,7075557,7075692,135,98.2423706054687,113.35400390625,77,7075769,7075871,102,84.2553100585937,110.35546875,339,7076210,7076321,111,97.9093475341797,110.35546875,7,pin-length-4
7147283,7147394,111,112.895469665527,104.558532714844,510,7147904,7148011,107,54.2830810546875,143.33837890625,90,7148101,7148192,91,60.2775268554688,103.359130859375,474,7148666,7148811,145,134.875122070313,88.366943359375,7,pin-length-4
7151545,7151640,95,92.9139709472656,78.5720825195313,463,7152103,7152214,111,73.2655029296875,117.351928710938,78,7152292,7152394,102,78.2608642578125,110.35546875,429,7152823,7152899,76,85.9204406738281,117.351928710938,7,pin-length-4
3593497,3593597,100,123.785385131836,112.553833007813,1810,3595407,3595505,98,105.202575683594,107.356567382813,179,3595684,3595788,104,106.20166015625,108.356079101563,531,3596319,3596390,71,103.803894042969,126.3466796875,7,pin-length-4
3597842,3597916,74,123.785385131836,96.5621948242188,653,3598569,3598646,77,91.215576171875,111.3544921875,100,3598746,3598827,81,106.20166015625,94.36328125,133,3598960,3599050,90,115.792785644531,143.337768554688,7,pin-length-4
3599964,3600061,97,105.802032470703,93.563720703125,609,3600670,3600782,112,101.206298828125,119.350341796875,63,3600845,3600936,91,117.191467285156,106.357055664063,190,3601126,3601219,93,72.8325653076172,169.32421875,7,pin-length-4
