meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,user,length
-1.64992094039917,1.25998243019627,1.87615809721105,1.54909564458755,-0.021245120363206,0.022919065670072,0.026798825248394,0.0240018597987,0,0,0.961019747864966,1.9447834871601,-1.96791405771293,2.73043665691615,0.010297616762824,0.046250611271002,-0.018390160530909,0.049781007807099,0,0,-1.26120486913943,1.76387247804979,0.555887278388528,2.23050265095637,-0.015300122649337,0.040273684138181,0.015299751134342,0.072804290765639,0,0,0.896347382489373,1.87408292347634,1.25169982910156,0.520796154971772,0.009432770691666,0.047829322803371,0.007773454791534,0.038981103218015,0,0,-2.21841018527162,2.42228242636875,0.336754892386642,0.521734041481498,-0.018465460295496,0.038601387936529,0.001218020077258,0.029887440807009,0,0,-2.05714564385757,1.23847069794302,0.344350752487681,0.108744406808777,-0.008557499217006,0.116834692231551,0.001706546748982,0.01093093785258,0,0,4,pattern-length-6
-0.770091862710846,0.325218848106867,0.768554520241915,0.328686470432882,-0.001926515221789,0.007641985643556,0.002267625887691,0.007143215829404,0,0,0.181247557652237,0.460882658280843,-0.502882198102023,0.759969359105341,0.000417850583405,0.00849466265828,-0.001381907477965,0.00913721424382,0,0,-0.246741636747944,0.523951355676163,0.165882192782423,0.870382236882736,-0.00113615597702,0.005173045179164,0.001466328518059,0.014535440976144,0,0,0.402225188587287,0.875800295489294,0.55476873372085,0.389506516227316,0.002722289722311,0.010014672850563,0.002301736928692,0.011096800838196,0,0,-1.08955504744475,1.5884492452988,0.197585148661885,0.397630318402205,-0.004035187588073,0.02141705532345,-0.000111348984808,0.016069433651699,0,0,-0.86890704534058,0.498248120763921,0.041844726671297,0.03341747301506,-0.000922592175361,0.037574384404708,0.000208885474464,0.002067969962461,0,0,4,pattern-length-6
-1.49054036518403,1.12392677031573,1.75752607107758,1.33491511832588,-0.017155855959374,0.020177915709209,0.019805990599193,0.026866786822903,0,0,0.667086851830576,1.78034058987431,-1.63526620303883,2.8699690596146,0.010451049650692,0.045329692076915,-0.020118359958424,0.053282158063497,0,0,-1.01606036167519,1.80686349070917,0.41967472375608,2.10666985428303,-0.016724193659896,0.04420560067242,0.013642398062599,0.076409622616841,0,0,0.911814892993254,2.35386498683772,1.31850771343007,0.654019711283204,0.009985718424964,0.06268365146095,0.005368849501065,0.048460504257677,0,0,-2.48754493862975,2.50813194712341,0.353594462076823,0.322640314575357,-0.019372636122456,0.042580789963644,0.000831360395388,0.017766191245329,0,0,-1.58428002423781,1.12041060249932,0.343853066184304,0.047977061121909,0.006663234226106,0.059937755099419,0.002526033200895,0.003510289660891,0,0,4,pattern-length-6
-0.236048638595197,0.581621749123401,0.19980031544994,0.513124173208424,-0.001976237861652,0.006352229524263,0.002093993474683,0.005920664593072,0,0,0.62674372411634,0.874313730103836,-1.59489670437941,1.71547722314027,0.006163859883307,0.014656557260586,-0.010695314565608,0.023905500103691,0,0,-0.53456511381334,0.892845413655271,0.420714155662931,1.21858099354717,-0.006705062891479,0.010063603355168,0.007641093856325,0.021190406181226,0,0,0.157240016669101,0.380666491810378,0.256080462159055,0.326373576204106,8.29237039952605E-05,0.013850732793143,0.000894237387955,0.015528936306109,0,0,-0.74069287415861,1.43433595020219,0.071462211133273,0.38897820543826,-0.00569589281826,0.019059538889088,0.000276467292194,0.013468343442387,0,0,-0.648322204113083,0.953808582598532,0.052672900713547,0.064428412082648,-0.00246507437847,0.04704784609577,0.000423525731902,0.002670952136714,0,0,4,pattern-length-6
-0.85521326171697,0.750095127849079,1.00432395162352,0.900471060757108,-0.004037120279707,0.013654251604528,0.006952235383936,0.010739152888814,0,0,0.359891574834686,0.861745902474574,-1.3620426456771,1.80925301663374,0.0027159374671,0.024765087807996,-0.008137240619497,0.036211787944743,0,0,-0.659839976917614,0.953504982947,0.67909560994031,1.49239643954695,-0.006771067847018,0.018645113834209,0.006438191936765,0.039216191350201,0,0,0.775891064322569,1.63198184324726,1.45892382943056,0.539289966975395,0.01206333019883,0.046072210466116,0.015153108029829,0.037851909613655,0,0,-1.79827303390078,2.21968769352767,-0.104061282898717,0.924222766892017,-0.017153999662513,0.042229362773082,-0.002177455174111,0.029649454040106,0,0,-1.16583326119699,1.2071057356257,-0.037772599995698,0.219258767299369,0.008826182314334,0.044063103295506,-0.003303235578647,0.009050289838359,0,0,4,pattern-length-6
-1.44104994768214,0.903678048710119,1.43983473660382,0.928818992329554,-0.009153135378535,0.016749179831092,0.009950721604095,0.016962158852009,0,0,0.554429243635154,0.944564255529722,-1.7953693818281,2.20331855713633,0.00788475343284,0.024938075451939,-0.022332038023236,0.034170616901819,0,0,-0.370004854525262,1.42964219480218,0.033570772058824,2.01703359356513,-0.008759237344439,0.038618064657448,0.010181787232252,0.071414708479249,0,0,0.62600720700804,2.03364713084867,1.7128545285499,0.740300084874625,0.011804908099861,0.054266295542268,0.016688699881232,0.058890001475795,0,0,-2.01569259017972,2.30216033338957,0.104172955137311,0.718541596737558,-0.017686844389632,0.048989720193196,0.002175499539672,0.03717684974228,0,0,-1.00389883417523,1.59322735962632,-0.100031871768594,0.205996595186936,0.006445825775538,0.099683950880087,-0.005446215561847,0.013607518832432,0,0,4,pattern-length-6
-1.43927764892578,1.14431049016949,1.55587146662864,1.28269652009361,-0.012577940553825,0.014878602825617,0.014928046748359,0.016650152467827,0,0,0.748733203183025,1.52896778891002,-2.00932883649657,2.8139339064754,0.010280473858997,0.053100698066453,-0.028054576611637,0.068372466964348,0,0,-0.510421122057789,1.48700000112694,0.303783578432581,2.52380240232605,-0.009034855331683,0.0417299021674,0.011126141260001,0.095242671892517,0,0,0.300200368843827,1.7468802270867,1.51277878705193,1.07932937321313,0.011528447975062,0.052064764888171,0.017414124916719,0.076861578138242,0,0,-1.55593058864521,2.45132751752276,0.218839127815066,0.880961476945818,-0.009923675862673,0.051561389750817,0.001154757777677,0.048177518335073,0,0,-1.10027003823755,1.15324919138981,-0.00735192120394,0.073493207842106,-0.006219191094096,0.092750852132131,-0.001187375702547,0.002986061901759,0,0,4,pattern-length-6
-1.40039569329208,1.16588094935574,1.70378363576691,1.42620352667166,-0.015468587703303,0.013660756879007,0.017881949613665,0.01691172644939,0,0,0.65874216064979,1.29359243203323,-1.68565849512727,2.31313391922017,0.009030464793128,0.027083569275748,-0.014616938383284,0.042226428602719,0,0,-1.03771938657166,1.14447092760269,0.752142826291117,0.960071853133767,-0.01264041475422,0.024247777914998,0.009718695451748,0.023852023874032,0,0,0.724165836545023,2.02337191739084,1.36472264798142,0.598554455185017,0.02186146171733,0.036956567581174,0.0098949142696,0.028765237241605,0,0,-1.86230849539745,2.60632130253968,-0.013892080269608,1.13741135499382,-0.015511322731768,0.070147735852075,0.003035409976403,0.052268692973673,0,0,-1.67675986740466,1.25410454637964,0.261095014221953,0.105258195011921,0.006973000177222,0.061318779433603,-0.000384636402007,0.006827228660775,0,0,4,pattern-length-6
-0.449115386865855,0.467032213112546,0.422327598919878,0.43640897754231,-0.001019439557747,0.004562743972266,0.000966542881289,0.004697862798605,0,0,0.25428316743805,0.492207968252151,-0.516339400962547,0.722372920320336,0.00093375109395,0.007460247958462,-0.002088033339272,0.00766571538256,0,0,-0.553169982350053,1.11500452757776,0.270680067475782,1.22039879518319,-0.004865162545256,0.012743034341745,0.003549971410386,0.024775665063775,0,0,0.527035466362448,1.15639010900502,0.907383829004624,0.644614206889951,0.006053696701683,0.030500613249919,0.006774138084332,0.023488722862847,0,0,-1.48613233005299,1.94946123057563,0.346687002742992,0.472981831017222,-0.009743564475366,0.033935036024676,0.000651117757117,0.027882800026949,0,0,-1.46689778521737,1.00547786317677,0.068002943559127,0.110239507424238,-0.002592367928483,0.060564039394059,0.000964652385754,0.004972604848613,0,0,4,pattern-length-6
-0.878894362810803,0.448824208209058,0.790861285721875,0.419261920405722,-0.002765730431556,0.006194679067994,0.003117214849801,0.005409417805618,0,0,0.079788637522579,0.439206656462151,-0.170531862577904,0.685682214451414,0.000449142307053,0.006088257085894,-0.000609790214524,0.006959973812596,0,0,-0.412488922418333,0.947526651494213,0.24995704351687,1.06081268696282,-0.003399669450322,0.016281796757866,0.002397578425336,0.025398070259851,0,0,0.375822306289087,1.17184915771172,0.850553117444753,0.656998823307977,0.00500825288261,0.022977733534493,0.004948153394639,0.02080064352886,0,0,-1.23731461225771,1.77949019932284,0.288651541167614,0.330969823777649,-0.006767445318014,0.026853357021194,-3.65120729360613E-05,0.017672166387081,0,0,-1.15955375987578,0.886978038636821,0.028265371679622,0.070720258539579,-0.001555309512867,0.06337733301445,0.000179388287608,0.003440984445441,0,0,4,pattern-length-6
