area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.003921568859369,57105708,57105776,68,75,77,0,0.003921568859369,92,57105868,57105954,86,66,124,0,0.003921568859369,68,57106022,57106082,60,105,115,0,0.003921568859369,59,57106141,57106235,94,99,130,11,pin-length-4
39215688,1,274560283,274560317,34,74,99,39215688,1,153,274560470,274560516,46,63,74,39215688,1,160,274560676,274560742,66,108,103,39215688,1,109,274560851,274560902,51,116,127,12,pin-length-4
39215688,1,274565680,274565719,39,119,99,39215688,1,218,274565937,274565984,47,67,77,39215688,1,313,274566297,274566376,79,101,93,39215688,1,110,274566486,274566527,41,144,92,12,pin-length-4
39215688,1,274571535,274571562,27,99,86,39215688,1,134,274571696,274571762,66,89,85,39215688,1,135,274571897,274571979,82,104,70,39215688,1,135,274572114,274572154,40,135,116,12,pin-length-4
39215688,1,274577151,274577197,46,114,101,39215688,1,118,274577315,274577380,65,67,77,39215688,1,162,274577542,274577597,55,125,78,39215688,1,146,274577743,274577780,37,124,131,12,pin-length-4
39215688,1,274582719,274582773,54,102,81,39215688,1,143,274582916,274582941,25,55,66,39215688,1,151,274583092,274583174,82,114,56,39215688,1,126,274583300,274583349,49,135,108,12,pin-length-4
0,0.003921568859369,58187301,58187394,93,154,96,0,0.003921568859369,84,58187478,58187547,69,112,100,0,0.003921568859369,159,58187706,58187764,58,118,113,0,0.003921568859369,151,58187915,58188001,86,169,70,15,pin-length-4
0,0.003921568859369,58196439,58196541,102,125,115,0,0.003921568859369,484,58197025,58197084,59,130,103,0,0.003921568859369,276,58197360,58197419,59,100,63,0,0.003921568859369,310,58197729,58197806,77,117,86,15,pin-length-4
0,0.003921568859369,58198939,58199024,85,112,104,0,0.003921568859369,409,58199433,58199527,94,130,83,0,0.003921568859369,301,58199828,58199879,51,121,81,0,0.003921568859369,343,58200222,58200298,76,130,89,15,pin-length-4
0,0.003921568859369,58201207,58201291,84,117,105,0,0.003921568859369,376,58201667,58201744,77,127,107,0,0.003921568859369,292,58202036,58202095,59,113,93,0,0.003921568859369,376,58202471,58202539,68,130,99,15,pin-length-4
0,0.003921568859369,58203539,58203633,94,115,109,0,0.003921568859369,319,58203952,58204036,84,124,85,0,0.003921568859369,251,58204287,58204346,59,102,81,0,0.003921568859369,293,58204639,58204724,85,179,98,15,pin-length-4
117647072,0.133333340287209,19440221,19440307,86,90.81591796875,67.558349609375,156862752,0.168627455830574,119,19440426,19440524,98,89.51708984375,71.4814453125,117647072,0.113725498318672,175,19440699,19440841,142,99.2081298828125,57.5625610351563,117647072,0.168627455830574,175,19441016,19441092,76,129.480102539063,93.5472412109375,16,pin-length-4
78431376,0.121568635106087,19444820,19444916,96,87.8186950683594,87.5498046875,156862752,0.180392161011696,93,19445009,19445099,90,121.487487792969,79.47802734375,117647072,0.149019613862038,160,19445259,19445342,83,96.2109375,58.5621337890625,117647072,0.149019613862038,168,19445510,19445600,90,155.4560546875,101.543823242188,16,pin-length-4
78431376,0.137254908680916,19447096,19447175,79,65.8390350341797,73.5557861328125,156862752,0.168627455830574,101,19447276,19447359,83,151.459777832031,71.4814453125,117647072,0.152941182255745,167,19447526,19447617,91,168.144287109375,72.55615234375,117647072,0.168627455830574,167,19447784,19447850,66,121.487487792969,138.527954101563,16,pin-length-4
78431376,0.113725498318672,19453275,19453398,123,75.8297882080078,82.5518798828125,156862752,0.176470592617989,98,19453496,19453585,89,109.498596191406,101.468627929688,117647072,0.14509804546833,168,19453753,19453845,92,109.198913574219,51.5651245117188,196078432,0.200000017881393,151,19453996,19454079,83,100.506958007813,71.556640625,16,pin-length-4
117647072,0.129411771893501,19455097,19455197,100,73.8316345214844,45.5676879882813,196078432,0.184313729405403,58,19455255,19455337,82,121.487487792969,68.482666015625,117647072,0.137254908680916,166,19455503,19455579,76,100.207214355469,112.5390625,117647072,0.16078431904316,134,19455713,19455763,50,128.481018066406,112.5390625,16,pin-length-4
0,0.003921568859369,320793054,320793121,67,131,95,0,0.003921568859369,242,320793363,320793449,86,137,115,0,0.003921568859369,892,320794341,320794418,77,99,109,0,0.003921568859369,358,320794776,320794827,51,88,115,17,pin-length-4
0,0.003921568859369,320805939,320806051,112,144,102,0,0.003921568859369,250,320806301,320806378,77,124,139,0,0.003921568859369,650,320807028,320807113,85,123,101,0,0.003921568859369,252,320807365,320807423,58,99,84,17,pin-length-4
0,0.003921568859369,320818500,320818629,129,114,108,0,0.003921568859369,285,320818914,320819015,101,134,102,0,0.003921568859369,661,320819676,320819769,93,117,92,0,0.003921568859369,234,320820003,320820106,103,118,52,17,pin-length-4
0,0.003921568859369,320826984,320827086,102,108,112,0,0.003921568859369,259,320827345,320827464,119,135,99,0,0.003921568859369,584,320828048,320828159,111,111,94,0,0.003921568859369,311,320828470,320828563,93,116,70,17,pin-length-4
0,0.003921568859369,320834840,320834949,109,129,106,0,0.003921568859369,302,320835251,320835327,76,127,87,0,0.003921568859369,392,320835719,320835804,85,98,87,0,0.003921568859369,334,320836138,320836189,51,93,50,17,pin-length-4
0,0.16078431904316,541615257,541615632,375,127,122,0,0.200000017881393,775,541616407,541616697,290,169,105,0,0.196078449487686,740,541617437,541617750,313,145,88,0,0.203921586275101,634,541618384,541618672,288,168,90,19,pin-length-4
0,0.168627455830574,541621693,541622025,332,123,110,0,0.156862750649452,8115,541630140,541630224,84,128,131,0,0.129411771893501,5246,541635470,541635767,297,161,125,0,0.105882361531258,1358,541637125,541637287,162,105,91,19,pin-length-4
