area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.003921568859369,57114565,57114627,62,92,88,0,0.003921568859369,218,57114845,57114939,94,76,106,0,0.003921568859369,109,57115048,57115126,78,68,105,0,0.003921568859369,67,57115193,57115253,60,97,85,0,0.003921568859369,192,57115445,57115513,68,114,121,0,0.003921568859369,2285,57117798,57117871,73,92,103,11,pin-length-6
0,0.003921568859369,57123188,57123242,54,81,98,0,0.003921568859369,201,57123443,57123537,94,64,112,0,0.003921568859369,109,57123646,57123740,94,95,100,0,0.003921568859369,68,57123808,57123868,60,106,88,0,0.003921568859369,268,57124136,57124186,50,113,113,0,0.003921568859369,110,57124296,57124355,59,112,114,11,pin-length-6
0,0.003921568859369,57127850,57127917,67,126,103,0,0.003921568859369,243,57128160,57128254,94,92,112,0,0.003921568859369,118,57128372,57128457,85,93,104,0,0.003921568859369,110,57128567,57128643,76,132,95,0,0.003921568859369,477,57129120,57129188,68,134,93,0,0.003921568859369,118,57129306,57129374,68,120,106,11,pin-length-6
0,0.003921568859369,57131159,57131226,67,113,90,0,0.003921568859369,160,57131386,57131489,103,61,113,0,0.003921568859369,109,57131598,57131701,103,112,115,0,0.003921568859369,135,57131836,57131908,72,162,77,0,0.003921568859369,351,57132259,57132319,60,101,106,0,0.003921568859369,669,57132988,57133046,58,106,104,11,pin-length-6
39215688,1,274595633,274595686,53,104,105,39215688,1,138,274595824,274595878,54,75,83,39215688,1,93,274595971,274596011,40,148,139,39215688,1,147,274596158,274596203,45,107,120,39215688,1,187,274596390,274596444,54,105,121,39215688,1,130,274596574,274596603,29,116,84,12,pin-length-6
39215688,1,274601752,274601781,29,98,70,39215688,1,175,274601956,274602030,74,57,86,39215688,1,84,274602114,274602180,66,110,108,39215688,1,151,274602331,274602371,40,100,95,39215688,1,300,274602671,274602713,42,120,94,39215688,1,145,274602858,274602889,31,151,101,12,pin-length-6
39215688,1,274615097,274615142,45,103,72,39215688,1,117,274615259,274615308,49,70,92,39215688,1,85,274615393,274615484,91,111,36,39215688,1,136,274615620,274615675,55,129,92,39215688,1,235,274615910,274615975,65,145,95,39215688,1,126,274616101,274616151,50,135,146,12,pin-length-6
39215688,1,274621132,274621186,54,112,68,39215688,1,151,274621337,274621352,15,45,75,39215688,1,142,274621494,274621578,84,114,74,39215688,1,117,274621695,274621744,49,108,100,39215688,1,225,274621969,274622026,57,160,102,39215688,1,145,274622171,274622211,40,117,106,12,pin-length-6
39215688,1,274627400,274627463,63,111,52,39215688,1,142,274627605,274627645,40,63,80,39215688,1,146,274627791,274627862,71,126,96,39215688,1,118,274627980,274628029,49,91,109,39215688,1,325,274628354,274628421,67,99,66,39215688,1,127,274628548,274628578,30,135,96,12,pin-length-6
0,0.003921568859369,58211516,58211575,59,118,81,0,0.003921568859369,376,58211951,58212030,79,89,93,0,0.003921568859369,1290,58213320,58213405,85,120,102,0,0.003921568859369,293,58213698,58213783,85,106,127,0,0.003921568859369,484,58214267,58214360,93,109,92,0,0.003921568859369,243,58214603,58214697,94,147,126,15,pin-length-6
